Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9795454545454545,0.9805981896890988,0.9795454545454545,0.979423151374371
Random Forest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759
KNN,0.9772727272727273,0.9784742499227501,0.9772727272727273,0.9772312611223558
SVM,0.9840909090909091,0.9865800865800866,0.9840909090909091,0.9839076912247645
Naive Bayes,0.9954545454545455,0.9958677685950413,0.9954545454545455,0.9954431533378901
